author_id,display_name,works_api_url,h_index,works_count,cited_by_count,country_code
A5035198055,Ashiqur R. KhudaBukhsh,https://api.openalex.org/works?filter=author.id:A5035198055,8,77,257,US
A5039937997,A. Nicholas,https://api.openalex.org/works?filter=author.id:A5039937997,12,218,434,ZA
A5029294803,Ashley Muddiman,https://api.openalex.org/works?filter=author.id:A5029294803,15,47,925,US
A5048789742,Ashton Anderson,https://api.openalex.org/works?filter=author.id:A5048789742,18,75,2223,CA
A5077745776,Astrid Gühnemann,https://api.openalex.org/works?filter=author.id:A5077745776,8,55,289,AT
A5065544460,Attila Varga,https://api.openalex.org/works?filter=author.id:A5065544460,22,219,6016,HU
A5001097474,Atushi Ishikawa,https://api.openalex.org/works?filter=author.id:A5001097474,11,109,389,JP
A5074722895,Avi Gamoran,https://api.openalex.org/works?filter=author.id:A5074722895,2,8,6,IL
A5058457102,Ayan-Yue Gupta,https://api.openalex.org/works?filter=author.id:A5058457102,1,4,21,GB
A5043526874,Aymeric Luneau,https://api.openalex.org/works?filter=author.id:A5043526874,1,15,2,FR
A5030641600,Babak Heydari,https://api.openalex.org/works?filter=author.id:A5030641600,16,88,996,US
A5049607869,Bahador Bahrami,https://api.openalex.org/works?filter=author.id:A5049607869,31,117,4053,GB
A5088501882,Bahareh Sarrafzadeh,https://api.openalex.org/works?filter=author.id:A5088501882,5,21,77,US
A5009108675,Bailey K. Fosdick,https://api.openalex.org/works?filter=author.id:A5009108675,17,100,2061,US
A5033543507,Baird Howland,https://api.openalex.org/works?filter=author.id:A5033543507,4,6,252,US
A5043896739,Balaraju Battu,https://api.openalex.org/works?filter=author.id:A5043896739,5,14,50,US
A5057226228,Balázs Vedres,https://api.openalex.org/works?filter=author.id:A5057226228,10,78,836,AT
A5003963130,Bao-Tran Truong,https://api.openalex.org/works?filter=author.id:A5003963130,6,8,213,US
A5002913960,Barbara Keller,https://api.openalex.org/works?filter=author.id:A5002913960,26,69,3429,CH
A5032257766,Beatrice Bonami,https://api.openalex.org/works?filter=author.id:A5032257766,2,9,28,GB
A5011077465,Beatrice Rammstedt,https://api.openalex.org/works?filter=author.id:A5011077465,30,227,5775,DE
A5066649557,Becky P.Y. Loo,https://api.openalex.org/works?filter=author.id:A5066649557,33,257,3877,HK
A5036868218,Bedoor AlShebli,https://api.openalex.org/works?filter=author.id:A5036868218,11,31,767,AE
A5065820472,Beibei Li,https://api.openalex.org/works?filter=author.id:A5065820472,60,1002,14763,CN
A5055355947,Benedikt Pirmin Ströbl,https://api.openalex.org/works?filter=author.id:A5055355947,1,2,3,DE
A5089637526,Benjamin J. Radford,https://api.openalex.org/works?filter=author.id:A5089637526,5,26,115,US
A5005840933,Bennard Doornbos,https://api.openalex.org/works?filter=author.id:A5005840933,16,52,953,NL
A5054308726,Bernardo García Bulle Bueno,https://api.openalex.org/works?filter=author.id:A5054308726,2,13,16,US
A5090962780,Bertram F. Malle,https://api.openalex.org/works?filter=author.id:A5090962780,39,210,10012,US
A5041993985,Bethany Hsiao,https://api.openalex.org/works?filter=author.id:A5041993985,0,1,0,US
A5024920559,Beverly Laher,https://api.openalex.org/works?filter=author.id:A5024920559,1,6,9,MW
A5011857931,Bhargav Srinivasa Desikan,https://api.openalex.org/works?filter=author.id:A5011857931,3,16,22,FR
A5086259064,Blas Kolic,https://api.openalex.org/works?filter=author.id:A5086259064,1,5,60,GB
A5034939798,Bojan Kostić,https://api.openalex.org/works?filter=author.id:A5034939798,6,27,89,RS
A5072156055,Eszter Bokányi,https://api.openalex.org/works?filter=author.id:A5072156055,7,31,186,NL
A5082225935,Boleslaw K. Szymanski,https://api.openalex.org/works?filter=author.id:A5082225935,38,168,5934,US
A5007077429,Bradley Spahn,https://api.openalex.org/works?filter=author.id:A5007077429,2,6,50,US
A5014395817,Bramantyo Ibrahim Supriyatno,https://api.openalex.org/works?filter=author.id:A5014395817,1,1,5,US
A5076193392,Brenda Curtis,https://api.openalex.org/works?filter=author.id:A5076193392,19,108,1307,US
A5023365550,Brendan O’Connor,https://api.openalex.org/works?filter=author.id:A5023365550,40,246,8377,IE
A5034550396,Brennan Klein,https://api.openalex.org/works?filter=author.id:A5034550396,12,60,2744,US
A5015711710,Brian Uzzi,https://api.openalex.org/works?filter=author.id:A5015711710,45,186,29697,US
A5006172855,Briony Swire‐Thompson,https://api.openalex.org/works?filter=author.id:A5006172855,11,38,1719,US
A5047517174,Brooke Foucault Welles,https://api.openalex.org/works?filter=author.id:A5047517174,13,58,1186,MX
A5048877432,Bruno Lepri,https://api.openalex.org/works?filter=author.id:A5048877432,39,312,5322,IT
A5066089123,Byungkyu Lee,https://api.openalex.org/works?filter=author.id:A5066089123,11,35,511,US
A5041649856,Calvin Yixiang Cheng,https://api.openalex.org/works?filter=author.id:A5041649856,2,4,10,GB
A5067215455,Corneliu I. Oprea,https://api.openalex.org/works?filter=author.id:A5067215455,12,76,476,DE
A5019218689,Cameron Lai,https://api.openalex.org/works?filter=author.id:A5019218689,1,5,4,JP
A5067315236,Camille Landesvatter,https://api.openalex.org/works?filter=author.id:A5067315236,2,7,10,DE
A5038225532,Camille Testard,https://api.openalex.org/works?filter=author.id:A5038225532,5,15,123,US
A5056226566,Carina Ines Hausladen,https://api.openalex.org/works?filter=author.id:A5056226566,4,31,64,CH
A5013164931,Carlo Michele Valensise,https://api.openalex.org/works?filter=author.id:A5013164931,10,39,2260,IT
A5019690020,Carlos Fernández‐del Castillo,https://api.openalex.org/works?filter=author.id:A5019690020,76,728,31244,US
A5038358917,Carlos Fernandez‐Basso,https://api.openalex.org/works?filter=author.id:A5038358917,7,18,119,ES
A5058359917,Carlos J. Rodríguez,https://api.openalex.org/works?filter=author.id:A5058359917,45,470,33965,US
A5006798397,C E Buth,https://api.openalex.org/works?filter=author.id:A5006798397,4,88,86,DE
A5027781990,Carmen Leicht-Scholten,https://api.openalex.org/works?filter=author.id:A5027781990,5,88,93,DE
A5014031647,Carmine Spagnuolo,https://api.openalex.org/works?filter=author.id:A5014031647,11,52,346,IT
A5072186861,Carolina Coimbra Vieira,https://api.openalex.org/works?filter=author.id:A5072186861,2,18,42,DE
A5053806434,Casey Randazzo,https://api.openalex.org/works?filter=author.id:A5053806434,1,2,2,US
A5021170243,Cassandra Overney,https://api.openalex.org/works?filter=author.id:A5021170243,2,10,42,US
A5029483412,Cassidy R. Sugimoto,https://api.openalex.org/works?filter=author.id:A5029483412,43,282,8272,US
A5038331765,Catalina Vajiac,https://api.openalex.org/works?filter=author.id:A5038331765,2,10,11,US
A5055434105,Caterina Suitner,https://api.openalex.org/works?filter=author.id:A5055434105,15,93,1269,IT
A5059079741,Chen Cai,https://api.openalex.org/works?filter=author.id:A5059079741,33,202,7125,CN
A5043042941,Cecilia Monge,https://api.openalex.org/works?filter=author.id:A5043042941,7,34,566,US
A5086827245,Ceren Budak,https://api.openalex.org/works?filter=author.id:A5086827245,17,86,1585,US
A5064297795,César A. Hidalgo,https://api.openalex.org/works?filter=author.id:A5064297795,38,231,16550,FR
A5068629007,C. A. Marin Tobon,https://api.openalex.org/works?filter=author.id:A5068629007,56,364,12271,CH
A5006681226,Chanuwas Aswamenakul,https://api.openalex.org/works?filter=author.id:A5006681226,1,3,4,US
A5053397364,Chao Yu,https://api.openalex.org/works?filter=author.id:A5053397364,57,563,14772,CN
A5083980012,Charalampos Saitis,https://api.openalex.org/works?filter=author.id:A5083980012,9,72,253,GB
A5075497327,Charles Rahal,https://api.openalex.org/works?filter=author.id:A5075497327,8,32,1329,GB
A5020262392,Chung‐Jung Tsai,https://api.openalex.org/works?filter=author.id:A5020262392,64,230,14331,US
A5028705781,Chiara Chiavenna,https://api.openalex.org/works?filter=author.id:A5028705781,4,7,73,GB
A5042522236,Chico Q. Camargo,https://api.openalex.org/works?filter=author.id:A5042522236,7,30,239,GB
A5056247832,Chloe Ahn,https://api.openalex.org/works?filter=author.id:A5056247832,1,4,5,US
A5080376515,Chris Baber,https://api.openalex.org/works?filter=author.id:A5080376515,37,376,4764,GB
A5090222665,Christa Brelsford,https://api.openalex.org/works?filter=author.id:A5090222665,11,58,623,US
A5003546846,Christian S. Czymara,https://api.openalex.org/works?filter=author.id:A5003546846,8,46,453,DE
A5080298742,Christian Vestergaard,https://api.openalex.org/works?filter=author.id:A5080298742,15,84,1077,FR
A5012631395,Christian Strippel,https://api.openalex.org/works?filter=author.id:A5012631395,7,45,153,DE
A5076968482,Christine Vega-Pourheydarian,https://api.openalex.org/works?filter=author.id:A5076968482,0,5,0,US
A5036452910,Christoffer Green‐Pedersen,https://api.openalex.org/works?filter=author.id:A5036452910,36,159,5121,DK
A5022550400,Christoffer Florczak,https://api.openalex.org/works?filter=author.id:A5022550400,2,12,15,DK
A5062364819,Christoph Bartenhagen,https://api.openalex.org/works?filter=author.id:A5062364819,21,113,1710,DE
A5081614562,Christoph Stadtfeld,https://api.openalex.org/works?filter=author.id:A5081614562,20,55,1931,CH
A5023997241,Christopher A. Bail,https://api.openalex.org/works?filter=author.id:A5023997241,17,56,2643,US
A5002034958,Christopher M. Danforth,https://api.openalex.org/works?filter=author.id:A5002034958,30,196,4729,US
A5053987970,Christopher I Jarvis,https://api.openalex.org/works?filter=author.id:A5053987970,31,81,13427,GB
A5049203961,Chung-Kon Shi,https://api.openalex.org/works?filter=author.id:A5049203961,6,89,129,KR
A5069885186,Ciro Cattuto,https://api.openalex.org/works?filter=author.id:A5069885186,44,201,9780,US
A5088505613,Claire Glanois,https://api.openalex.org/works?filter=author.id:A5088505613,3,14,33,DK
A5060898370,Clemens M. Lechner,https://api.openalex.org/works?filter=author.id:A5060898370,20,136,1176,DE
A5062898997,Clodomir Santana,https://api.openalex.org/works?filter=author.id:A5062898997,6,30,206,GB
A5059015114,Coen D. Needell,https://api.openalex.org/works?filter=author.id:A5059015114,2,3,23,US
A5000399565,Corine S. Meppelink,https://api.openalex.org/works?filter=author.id:A5000399565,10,24,706,NL
A5051642685,Cornelius Puschmann,https://api.openalex.org/works?filter=author.id:A5051642685,17,90,846,DE
A5002012048,Corrado Monti,https://api.openalex.org/works?filter=author.id:A5002012048,8,48,163,IT
A5020425902,Chen Shen,https://api.openalex.org/works?filter=author.id:A5020425902,42,234,5715,CN
A5040468715,Cynthia Rudin,https://api.openalex.org/works?filter=author.id:A5040468715,42,349,9522,US
A5013262618,D. Sunshine Hillygus,https://api.openalex.org/works?filter=author.id:A5013262618,24,102,3045,US
A5012429628,Damian Serwata,https://api.openalex.org/works?filter=author.id:A5012429628,1,1,1,PL
A5071797963,Damian Trilling,https://api.openalex.org/works?filter=author.id:A5071797963,17,102,1670,NL
A5036202579,Yuchao Dai,https://api.openalex.org/works?filter=author.id:A5036202579,37,430,5864,CN
A5046720258,Dan W. Franks,https://api.openalex.org/works?filter=author.id:A5046720258,1,1,47,GB
A5002809454,Daniel A. McFarland,https://api.openalex.org/works?filter=author.id:A5002809454,30,94,4120,US
A5005031025,Daniel J. Corsi,https://api.openalex.org/works?filter=author.id:A5005031025,32,188,4455,CA
A5027079032,Daniel B. Larremore,https://api.openalex.org/works?filter=author.id:A5027079032,29,113,5352,US
A5073734735,Daniel Matter,https://api.openalex.org/works?filter=author.id:A5073734735,6,26,412,DE
A5012278873,Li Wang,https://api.openalex.org/works?filter=author.id:A5012278873,207,37892,471260,CN
A5079162755,Daniel Valdenegro,https://api.openalex.org/works?filter=author.id:A5079162755,10,22,369,CL
A5072696264,Ida Perrotta,https://api.openalex.org/works?filter=author.id:A5072696264,27,151,10908,IT
A5045572046,Daniele De Vinco,https://api.openalex.org/works?filter=author.id:A5045572046,1,3,6,IT
A5046509003,D. Gambetta,https://api.openalex.org/works?filter=author.id:A5046509003,4,6,59,AU
A5087685141,Darko Stojilović,https://api.openalex.org/works?filter=author.id:A5087685141,3,12,87,RS
A5031386218,Darren P. Croft,https://api.openalex.org/works?filter=author.id:A5031386218,52,194,8804,GB
A5002041772,Dashun Wang,https://api.openalex.org/works?filter=author.id:A5002041772,28,130,5585,US
A5002793667,David A. Axelrod,https://api.openalex.org/works?filter=author.id:A5002793667,46,277,7242,US
A5026931667,David Dreyer Lassen,https://api.openalex.org/works?filter=author.id:A5026931667,20,116,2887,DK
A5056499434,David G. Rand,https://api.openalex.org/works?filter=author.id:A5056499434,61,310,20366,US
A5046126345,David Jurgens,https://api.openalex.org/works?filter=author.id:A5046126345,28,153,2392,US
A5017534262,David A. Lagnado,https://api.openalex.org/works?filter=author.id:A5017534262,33,234,3807,GB
A5017444948,David Lusseau,https://api.openalex.org/works?filter=author.id:A5017444948,58,226,11845,DK
A5054707908,David Rothschild,https://api.openalex.org/works?filter=author.id:A5054707908,21,125,4275,US
A5004281470,Deb Roy,https://api.openalex.org/works?filter=author.id:A5004281470,35,278,12222,US
A5032463780,Debora Nozza,https://api.openalex.org/works?filter=author.id:A5032463780,11,66,912,IT
A5001276944,Delphine De Moor,https://api.openalex.org/works?filter=author.id:A5001276944,3,12,56,GB
A5058810080,Denis Bonnay,https://api.openalex.org/works?filter=author.id:A5058810080,8,70,206,FR
A5067592463,Dennis Assenmacher,https://api.openalex.org/works?filter=author.id:A5067592463,7,27,180,DE
A5029100305,Denny Borsboom,https://api.openalex.org/works?filter=author.id:A5029100305,72,333,36081,NL
A5010575643,Diana Roig-Sanz,https://api.openalex.org/works?filter=author.id:A5010575643,2,18,44,ES
A5059274507,Dorina Diana Verdes,https://api.openalex.org/works?filter=author.id:A5059274507,0,1,0,DK
A5079213654,Dilrukshi Gamage,https://api.openalex.org/works?filter=author.id:A5079213654,10,49,323,JP
A5076092708,Dimitra Dimitrakopoulou,https://api.openalex.org/works?filter=author.id:A5076092708,5,40,157,GR
A5009316832,Dimitris Kotzinos,https://api.openalex.org/works?filter=author.id:A5009316832,11,91,497,FR
A5073029056,Divya Saini,https://api.openalex.org/works?filter=author.id:A5073029056,6,21,133,IN
A5065436497,Djordje Grbic,https://api.openalex.org/works?filter=author.id:A5065436497,8,29,383,US
A5039592281,Dong Han,https://api.openalex.org/works?filter=author.id:A5039592281,38,465,6640,CN
A5005255669,Dong‐Woo Lim,https://api.openalex.org/works?filter=author.id:A5005255669,10,47,298,KR
A5093115684,Dorian Quelle,https://api.openalex.org/works?filter=author.id:A5093115684,0,2,1,CH
A5064910304,Doug Beeferman,https://api.openalex.org/works?filter=author.id:A5064910304,10,36,1846,US
A5068650951,Douglas R. Leasure,https://api.openalex.org/works?filter=author.id:A5068650951,11,40,335,GB
A5063445465,Drew Dimmery,https://api.openalex.org/works?filter=author.id:A5063445465,5,31,93,AT
A5090318645,Duilio Balsamo,https://api.openalex.org/works?filter=author.id:A5090318645,3,6,46,IT
A5000679279,Duncan J. Watts,https://api.openalex.org/works?filter=author.id:A5000679279,57,200,76258,US
A5090577017,Dustin E. Wright,https://api.openalex.org/works?filter=author.id:A5090577017,9,24,630,US
A5073838075,Dylan Connor,https://api.openalex.org/works?filter=author.id:A5073838075,9,49,272,US
A5000868394,Eaman Jahani,https://api.openalex.org/works?filter=author.id:A5000868394,7,34,409,US
A5013389509,Ebru Şanlıtürk,https://api.openalex.org/works?filter=author.id:A5013389509,2,3,8,DE
A5074755166,Eckehard Olbrich,https://api.openalex.org/works?filter=author.id:A5074755166,22,118,1831,DE
A5005353484,Edison Martins Paulo,https://api.openalex.org/works?filter=author.id:A5005353484,7,47,166,MZ
A5033716467,Edmond Awad,https://api.openalex.org/works?filter=author.id:A5033716467,11,56,1354,GB
A5041089475,Eiji Aramaki,https://api.openalex.org/works?filter=author.id:A5041089475,17,206,1359,JP
A5066819797,Eladio Montero-Porras,https://api.openalex.org/works?filter=author.id:A5066819797,1,3,6,BE
A5047155955,Elena Pavan,https://api.openalex.org/works?filter=author.id:A5047155955,11,77,364,IT
